epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1556,1.36162,3.91586,1.21706,0.00192,0.03716,0.00103,0.00068,1.28592,3.9055,1.04777,0.00011669,0.00011669,0.00011669
2,85.2006,1.65555,3.40496,1.14476,0.00101,0.02365,0.00201,0.00097,1.57155,3.76239,1.08914,0.000245099,0.000245099,0.000245099
3,129.061,1.48276,2.18104,1.0417,0.00796,0.17905,0.08943,0.04606,1.74001,3.32497,1.16805,0.000368227,0.000368227,0.000368227
4,176.409,1.4117,1.66213,1.04912,0.01017,0.20946,0.13028,0.0751,1.48844,3.05677,1.08422,0.000486074,0.000486074,0.000486074
5,225.831,1.39728,1.58113,1.00374,0.32895,0.15541,0.14528,0.08461,1.47939,2.90606,1.08639,0.00059864,0.00059864,0.00059864
6,277.976,1.46965,1.47725,1.02549,0.48052,0.08335,0.18175,0.11568,1.41768,2.55744,1.11388,0.000705924,0.000705924,0.000705924
7,326.138,1.34319,1.46699,1.01354,0.46107,0.08005,0.18851,0.11573,1.35262,2.59582,1.08618,0.000807928,0.000807928,0.000807928
8,374.448,1.34338,1.36785,1.00232,0.43023,0.14583,0.20172,0.11979,1.36594,2.957,1.08746,0.000904651,0.000904651,0.000904651
9,424.649,1.38248,1.30906,1.03306,0.42228,0.10811,0.16527,0.11058,1.42085,2.44809,1.09214,0.000996093,0.000996093,0.000996093
10,473.342,1.35677,1.31506,1.02806,0.43056,0.14664,0.20648,0.13312,1.40138,2.19753,1.09724,0.00108225,0.00108225,0.00108225
11,518.171,1.3444,1.26109,1.03252,0.95766,0.14609,0.21749,0.13862,1.36514,2.2244,1.07607,0.00116313,0.00116313,0.00116313
12,563.062,1.24669,1.21535,0.9992,0.43345,0.17905,0.21858,0.13587,1.30552,2.15195,1.05877,0.00123873,0.00123873,0.00123873
13,609.584,1.44631,1.36104,1.03925,0.92342,0.16812,0.2105,0.12794,1.37254,2.12134,1.11349,0.00127092,0.00127092,0.00127092
14,654.152,1.26742,1.17699,1.01398,0.92707,0.16892,0.20729,0.12838,1.33486,2.01298,1.09042,0.00123791,0.00123791,0.00123791
15,697.78,1.30996,1.21521,0.97975,0.38564,0.19932,0.21778,0.12972,1.32155,1.84268,1.07717,0.00120491,0.00120491,0.00120491
16,741.664,1.28875,1.22581,0.99567,0.84975,0.20946,0.22761,0.13434,1.25647,1.54954,1.05437,0.0011719,0.0011719,0.0011719
17,787.052,1.39633,1.21615,0.99266,0.86575,0.21959,0.23808,0.14248,1.33424,1.39597,1.08365,0.00113889,0.00113889,0.00113889
18,831.244,1.27822,1.18106,0.99926,0.89135,0.21622,0.24374,0.14637,1.32978,1.40452,1.058,0.00110589,0.00110589,0.00110589
19,875.264,1.32498,1.08405,0.96989,0.88321,0.21284,0.23778,0.14051,1.32857,1.49302,1.04705,0.00107288,0.00107288,0.00107288
20,920.327,1.245,1.05707,0.97867,0.86653,0.22268,0.23868,0.13725,1.33811,1.47103,1.04865,0.00103987,0.00103987,0.00103987
21,963.769,1.27766,1.11167,1.00543,0.81644,0.23986,0.22855,0.13524,1.36041,1.47044,1.06066,0.00100687,0.00100687,0.00100687
22,1008.55,1.32123,1.13041,0.96861,0.81669,0.23311,0.22817,0.13717,1.3449,1.50036,1.06071,0.000973861,0.000973861,0.000973861
