epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.6388,1.85323,3.32308,1.59468,0.10833,0.45534,0.09556,0.04695,1.52495,3.33926,1.29752,0.00014,0.00014,0.00014
2,53.2477,1.40952,2.68988,1.31504,0.17667,0.74256,0.21964,0.11512,1.62056,3.04558,1.24229,0.00029406,0.00029406,0.00029406
3,83.918,1.50158,1.76977,1.28344,0.18875,0.79335,0.59956,0.30435,1.7406,2.59005,1.29545,0.000441784,0.000441784,0.000441784
4,113.521,1.40921,1.3056,1.20196,0.82615,0.50768,0.68655,0.3526,1.61925,1.92171,1.24069,0.000583172,0.000583172,0.000583172
5,142.91,1.52797,1.21246,1.2668,0.89648,0.60666,0.75565,0.40079,1.6135,1.7019,1.27207,0.000718224,0.000718224,0.000718224
6,166.61,1.39867,1.12407,1.22702,0.79458,0.63001,0.74062,0.42246,1.54448,1.50598,1.22824,0.00084694,0.00084694,0.00084694
7,190.865,1.43581,1.10465,1.22704,0.75022,0.5972,0.68859,0.36305,1.67936,1.20422,1.34033,0.00096932,0.00096932,0.00096932
8,219.312,1.37488,1.05069,1.20611,0.68107,0.54116,0.60936,0.31865,1.79419,1.14903,1.44404,0.00108536,0.00108536,0.00108536
9,247.376,1.32503,0.99193,1.19812,0.88207,0.74668,0.85053,0.42012,1.74049,1.03513,1.37294,0.00119507,0.00119507,0.00119507
10,276.969,1.418,1.00697,1.21197,0.88082,0.74431,0.85294,0.42514,1.70686,1.0193,1.36883,0.00129844,0.00129844,0.00129844
11,303.165,1.37301,1.05055,1.23903,0.87595,0.78809,0.87639,0.49774,1.4757,0.93202,1.23622,0.00139548,0.00139548,0.00139548
12,332.133,1.29602,0.97831,1.18843,0.83071,0.80782,0.86693,0.50317,1.43677,0.90865,1.2225,0.00148618,0.00148618,0.00148618
13,360.645,1.31277,0.9608,1.17809,0.8339,0.81772,0.88222,0.52177,1.38762,0.86377,1.20051,0.0015248,0.0015248,0.0015248
14,389.276,1.31614,0.94459,1.18588,0.88199,0.78459,0.87589,0.50203,1.44724,0.88724,1.23537,0.0014852,0.0014852,0.0014852
15,417.626,1.33048,0.99687,1.18271,0.87349,0.79685,0.88093,0.48598,1.45997,0.94096,1.22942,0.0014456,0.0014456,0.0014456
16,446.577,1.31129,0.94168,1.15234,0.82173,0.80725,0.8568,0.48962,1.4343,0.92509,1.21799,0.001406,0.001406,0.001406
17,474.918,1.30172,0.96667,1.21288,0.76239,0.76182,0.79015,0.45298,1.49671,0.99236,1.24401,0.0013664,0.0013664,0.0013664
18,503.701,1.32278,0.95632,1.17149,0.81244,0.80736,0.83802,0.49406,1.42279,0.93561,1.19282,0.0013268,0.0013268,0.0013268
19,533.26,1.32411,0.92491,1.175,0.86036,0.80925,0.87111,0.4925,1.47735,0.87888,1.21486,0.0012872,0.0012872,0.0012872
20,562.795,1.32039,0.91464,1.16086,0.85701,0.81874,0.87521,0.48792,1.54564,0.87615,1.24966,0.0012476,0.0012476,0.0012476
21,591.013,1.25784,0.90159,1.15721,0.83511,0.81086,0.86799,0.48904,1.49705,0.8837,1.22967,0.001208,0.001208,0.001208
