epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.287,0.90247,2.55969,1.06912,0.42226,0.30927,0.34998,0.26807,0.91268,2.55025,0.96687,0.000466993,0.000466993,0.000466993
2,369.428,0.88897,1.57529,1.01,0.61765,0.72857,0.70865,0.53661,0.89455,1.5842,0.96681,0.000924649,0.000924649,0.000924649
3,527.817,0.89232,1.4052,1.02149,0.63449,0.68378,0.70069,0.54465,0.84075,1.61464,0.97292,0.00136344,0.00136344,0.00136344
4,687.261,0.83061,1.2424,1.00128,0.64257,0.76228,0.75576,0.58811,0.82113,1.30257,0.96723,0.00134412,0.00134412,0.00134412
5,847.729,0.82129,1.21627,0.99631,0.64177,0.75301,0.72066,0.54671,0.79596,1.21147,0.95269,0.00131582,0.00131582,0.00131582
6,1006.75,0.82035,1.11038,0.98798,0.69442,0.80766,0.77438,0.60811,0.77124,1.17632,0.97063,0.00128753,0.00128753,0.00128753
7,1166.51,0.7926,1.06543,0.99424,0.74133,0.72121,0.75798,0.61618,0.7694,1.15125,0.98453,0.00125923,0.00125923,0.00125923
8,1326.32,0.76399,1.08676,0.9815,0.704,0.75861,0.77862,0.61209,0.79095,1.24429,0.98173,0.00123094,0.00123094,0.00123094
9,1486.45,0.79137,1.01852,0.98067,0.65188,0.73752,0.76469,0.61072,0.74465,1.16884,0.95375,0.00120265,0.00120265,0.00120265
10,1647.83,0.79554,1.02352,0.98845,0.71702,0.77131,0.74103,0.57673,0.7473,1.09098,0.95949,0.00117435,0.00117435,0.00117435
11,1808.19,0.75653,0.98602,0.97168,0.70376,0.74817,0.78445,0.64521,0.73523,1.21803,0.9527,0.00114606,0.00114606,0.00114606
12,1969.28,0.74534,0.90409,0.97271,0.64655,0.78373,0.77595,0.62155,0.75566,1.12161,0.97866,0.00111776,0.00111776,0.00111776
13,2129.18,0.80415,0.93993,0.99095,0.74289,0.75373,0.80522,0.64931,0.74604,0.93979,0.96666,0.00108947,0.00108947,0.00108947
14,2288.73,0.77916,0.93002,0.98557,0.77799,0.77662,0.82084,0.66669,0.74922,0.91028,0.96936,0.00106118,0.00106118,0.00106118
15,2448.61,0.74495,0.88918,0.9735,0.64453,0.77175,0.79285,0.63609,0.73683,1.00916,0.9666,0.00103288,0.00103288,0.00103288
16,2610.07,0.73704,0.82652,0.9695,0.72828,0.7814,0.80726,0.65423,0.72247,0.90061,0.9624,0.00100459,0.00100459,0.00100459
17,2751.56,0.70594,0.83544,0.96086,0.75977,0.78675,0.81334,0.65715,0.74518,0.92148,0.97732,0.000976293,0.000976293,0.000976293
18,2921.35,0.72147,0.79929,0.95778,0.73847,0.76345,0.80913,0.66708,0.71621,0.88431,0.9688,0.000947999,0.000947999,0.000947999
19,3089.33,0.70989,0.77847,0.96341,0.75698,0.75327,0.79983,0.63684,0.74481,0.90631,0.97127,0.000919704,0.000919704,0.000919704
20,3256.67,0.74724,0.81521,0.96727,0.74259,0.7352,0.80539,0.65838,0.70734,0.88864,0.9531,0.00089141,0.00089141,0.00089141
21,3420.66,0.69875,0.74635,0.94525,0.74044,0.79996,0.81209,0.6652,0.69886,0.86934,0.95107,0.000863116,0.000863116,0.000863116
22,3587.09,0.6819,0.7432,0.94936,0.74735,0.74266,0.8241,0.66952,0.71313,0.86904,0.96811,0.000834822,0.000834822,0.000834822
23,3748.54,0.70856,0.74407,0.96447,0.76943,0.713,0.79081,0.63727,0.7202,0.93162,0.95753,0.000806528,0.000806528,0.000806528
24,3915.26,0.69996,0.72581,0.95955,0.80982,0.72595,0.81665,0.6541,0.74621,0.84535,0.96475,0.000778233,0.000778233,0.000778233
25,4081.98,0.7028,0.73048,0.95504,0.73219,0.73545,0.80308,0.64584,0.71901,0.88125,0.96683,0.000749939,0.000749939,0.000749939
26,4243.76,0.69216,0.73561,0.95223,0.67062,0.78887,0.80064,0.64955,0.72598,0.87685,0.98197,0.000721645,0.000721645,0.000721645
27,4412.69,0.71403,0.70012,0.97346,0.81604,0.68341,0.82348,0.66172,0.71921,0.81581,0.97173,0.000693351,0.000693351,0.000693351
28,4574.26,0.675,0.67853,0.94857,0.72667,0.76564,0.82004,0.66764,0.70405,0.86088,0.97128,0.000665057,0.000665057,0.000665057
29,4739.64,0.67363,0.64509,0.943,0.73511,0.76465,0.81237,0.66371,0.70206,0.82121,0.96331,0.000636762,0.000636762,0.000636762
30,4905.35,0.66574,0.64956,0.94934,0.72643,0.74298,0.79359,0.64616,0.68656,0.88586,0.95419,0.000608468,0.000608468,0.000608468
31,5067.41,0.69252,0.67495,0.95098,0.7189,0.73806,0.78596,0.64343,0.71115,0.85785,0.96798,0.000580174,0.000580174,0.000580174
32,5230.96,0.66227,0.61877,0.94776,0.71162,0.7503,0.79062,0.64114,0.72489,0.9129,0.98411,0.00055188,0.00055188,0.00055188
33,5394.1,0.64358,0.6125,0.93536,0.74927,0.77061,0.81486,0.66928,0.70133,0.82098,0.97605,0.000523586,0.000523586,0.000523586
34,5557.08,0.62899,0.59514,0.9238,0.81251,0.70165,0.82155,0.67299,0.69862,0.81124,0.98097,0.000495291,0.000495291,0.000495291
35,5719.87,0.6539,0.59446,0.93001,0.80885,0.73572,0.81765,0.66758,0.71189,0.7948,0.97972,0.000466997,0.000466997,0.000466997
36,5883.72,0.63459,0.57898,0.92936,0.70379,0.78205,0.77148,0.62749,0.73601,0.93557,0.99273,0.000438703,0.000438703,0.000438703
37,6046.36,0.6317,0.56636,0.92724,0.7473,0.7887,0.80433,0.65706,0.71405,0.8193,0.98302,0.000410409,0.000410409,0.000410409
38,6210.05,0.61531,0.56319,0.91725,0.79267,0.72679,0.78963,0.63846,0.70849,0.88222,0.97732,0.000382115,0.000382115,0.000382115
39,6373.16,0.59445,0.54605,0.91175,0.76332,0.76443,0.81907,0.66183,0.70297,0.81139,0.97573,0.00035382,0.00035382,0.00035382
40,6535.63,0.60359,0.51605,0.9188,0.7574,0.74415,0.81124,0.65313,0.71468,0.84023,0.9835,0.000325526,0.000325526,0.000325526
41,6694.33,0.58528,0.52746,0.89429,0.73795,0.75257,0.79208,0.64492,0.70845,0.86287,0.97903,0.000297232,0.000297232,0.000297232
42,6853.66,0.56347,0.49856,0.87485,0.75111,0.7621,0.79514,0.6398,0.71346,0.8654,0.98275,0.000268938,0.000268938,0.000268938
43,7013.43,0.56009,0.46523,0.87455,0.73115,0.80437,0.81662,0.66059,0.71251,0.82269,0.98245,0.000240644,0.000240644,0.000240644
44,7174.33,0.55072,0.45563,0.87069,0.75694,0.70865,0.78655,0.64079,0.704,0.86726,0.9747,0.000212349,0.000212349,0.000212349
45,7334.53,0.53994,0.43099,0.87624,0.76982,0.72404,0.80401,0.65177,0.70318,0.83562,0.97596,0.000184055,0.000184055,0.000184055
46,7494.3,0.5429,0.44116,0.87023,0.78739,0.72005,0.80306,0.65387,0.71356,0.85297,0.98506,0.000155761,0.000155761,0.000155761
47,7652.8,0.53738,0.4317,0.86911,0.75899,0.73388,0.79099,0.64375,0.71106,0.8619,0.98425,0.000127467,0.000127467,0.000127467
48,7814.83,0.53227,0.41767,0.87488,0.79594,0.708,0.78837,0.63918,0.70694,0.85841,0.98008,9.91726e-05,9.91726e-05,9.91726e-05
49,7973.19,0.52427,0.39663,0.87226,0.7618,0.75287,0.78889,0.64437,0.70365,0.83409,0.98011,7.08784e-05,7.08784e-05,7.08784e-05
50,8140.08,0.52049,0.39326,0.86663,0.78634,0.73061,0.79213,0.64613,0.70717,0.83862,0.98238,4.25842e-05,4.25842e-05,4.25842e-05
